지역,센터명,주소,전화번호_1,홈페이지
서울,서울시청소년상담복지센터,(04543) 서울특별시 중구 을지로 11길 23 7층,02-2285-1318,www.teen1318.or.kr
서울,종로구청소년상담복지센터,(03065) 서울특별시 종로구 명륜길 90,02-762-1318,www.jongno1318.or.kr
서울,용산구청소년상담복지센터,(04316) 서울특별시 용산구 백범로 329(원효로 1가) 꿈나무종합타운 4층,02-3273-5820,www.dodoit.or.kr
서울,성동구청소년상담복지센터,(04718) 서울특별시 성동구 행당로6길 24-15,02-2299-1388,http://sdyc.or.kr
서울,광진구청소년상담복지센터,(05072) 서울특별시 광진구 아차산로 24길 17 자양공공힐링센터 3층,02-2205-2300,www.light1318.or.kr
서울,동대문구청소년상담복지센터,"(02586) 서울특별시 동대문구 천호대로2길 23-9, 신설동복지지원센터 2층",02-2236-1318,www.ddm1318.or.kr
서울,중랑구청소년상담복지센터,(02254) 서울특별시 중랑구 용마산로 217 청소년수련관 3층,02-496-1895,www.jn1318.or.kr
서울,성북구청소년상담복지센터,(02814) 서울특별시 성북구 정릉로 242 성북아동청소년센터 4층,02-3292-1388,www.sb1318.or.kr
서울,성북구석관청소년상담복지센터,(02784) 서울특별시 성북구 돌곶이로 18길 3-9,02-963-1318,www.sb1318.or.kr
서울,강북구청소년상담복지센터,(01012) 서울특별시 강북구 4.19로 74 강북청소년수련관 3층,02-6715-6661,www.gb1318.or.kr
서울,도봉구청소년상담복지센터,(01412) 서울특별시 도봉구 노해로 69길 132 문화체육센터 1층,02-6956-4501,www.db1318.or.kr
서울,노원구청소년상담복지센터,(01616) 서울특별시 노원구 수락산로212-19 2층,02-2091-1388,www.nowonyouthcenter.org
서울,은평구청소년상담복지센터,(03476) 서울특별시 은평구 백련산로 4길 16 은평청소년수련관,02-384-1318,www.woori1318.or.kr
서울,서대문구청소년상담복지센터,(03676) 서울특별시 서대문구 증가로30길 45-9 휴먼센터 3~4층 ,02-3141-1318,www.sdm7979.or.kr/
서울,마포구청소년상담복지센터,(04016) 서울특별시 마포구 희우정로 77 마포한강아이파크 상가동,02-6376-9900,www.mapo1388.or.kr
서울,양천구청소년상담복지센터,"(08067) 서울특별시 양천구 남부순환로83길 53, 신월6동 행정복합타운 2층",02-2646-8341,http://yangcheon1388.or.kr/
서울,강서구청소년상담복지센터,(07718) 서울특별시 강서구 화곡로 18길 14-5,02-2061-8998,www.gs1318.or.kr 
서울,구로구청소년상담복지센터,(08365) 서울특별시 구로구 오리로 1115 천왕동청소년문화의집 2층  ,02-867-1318,www.guro1318.or.kr
서울,금천구청소년상담복지센터,(08569) 서울특별시 금천구 독산로32다길 17(시흥4동),02-803-1873,www.gc1388.or.kr
서울,영등포구청소년상담복지센터,(07317) 서울특별시 영등포구 도영로22길 36 해광빌딩 2층,02-2676-6114,www.young1318.com
서울,동작구청소년상담복지센터,(07062) 서울특별시 동작구 여의대방로 20길 61 시립보라매청소년센터 슬기동 2층,02-845-1388,http://djyc1388.or.kr/
서울,관악구청소년상담복지센터,(08790) 서울특별시 관악구 남부순환로 234길 73 싱글벙글교육센터 벙글동 4층,02-872-1318,http://go1318.or.kr/
서울,서초구청소년상담복지센터," (06703) 서울특별시 서초구 방배로5길 11 2층 (방배동, 구립방배유스센터 내)",02-525-9128,http://seocho1318.com/
서울,강남구청소년상담복지센터,(06362) 서울특별시 강남구 광평로 144 (수서동 749) 2층,02-2226-7667,www.gnyc.or.kr
서울,송파구청소년상담복지센터,(05834) 서울특별시 송파구 중대로 4길 4 송파구청소년센터 3층,02-449-7173,www.sp1318.or.kr
서울,강동구청소년상담복지센터,(05211) 서울특별시 강동구 아리수로93길 47 서울시립강동청소년수련관 2층 ,070-8819-1388,http://www.wagle.or.kr
부산,부산광역시청소년상담복지센터,(47247) 부산광역시 부산진구 서전로 43 6층 (전포동),051-804-5001,http://www.cando.or.kr/
부산,부산중구청소년상담복지센터,(48954) 부산광역시 중구 남포길 39-2 3층,051-231-1388,www.junggu1388.or.kr
부산,부산서구청소년상담복지센터,(49206) 부산광역시 서구 시약로 125 1층,051-714-3013,www.flyseogu1388.or.kr 
부산,부산동구청소년상담복지센터,(48723) 부산광역시 동구 범곡로 9 비전센터 3층,051-632-1388,http://bsdg1388.kr/
부산,영도구청소년상담복지센터,(49113) 부산광역시 영도구 절영로 321 함지골청소년수련관 1층,051-405-5605,www.busanyouth.or.kr
부산,부산진구청소년상담복지센터,"(47209) 부산광역시 부산진구 동평로 405번길 85, 양정청소년수련관 2층",051-868-0956,http://bsjin1388.or.kr
부산,동래구청소년상담복지센터,"(47710) 부산광역시 동래구 중앙대로 1523 SK허브스카이 A3동 05호, 06호 3층",051-555-1388 ,www.1388youth.kr 
부산,부산남구청소년상담복지센터,(48494) 부산광역시 남구 유엔평화로 24 5층,051-621-1389,www.namgu1388.kr
부산,부산북구청소년상담복지센터,(46579) 부산광역시 북구 덕천로3(구포1동 610-1),051-343-1388,http://www.bsbukgu.go.kr/youth 
부산,해운대구청소년상담복지센터,(48051) 부산광역시 해운대구 재반로 151-21 해운대청소년수련관 4층,051-731-4046,www.u-dream.or.kr
부산,사하구청소년상담복지센터,(49412) 부산광역시 사하구 동매로 161 ,051-207-7169,www.saha1388.kr
부산,금정구청소년상담복지센터,(46267) 부산광역시 금정구 기찰로 96번길 47 2층,051-581-2084,www.gjyouth1388.or.kr
부산,연제구청소년상담복지센터,(47525) 부산광역시 연제구 월드컵대로 243번길 19 거제동원타워상가 503호,051-506-1386,www.yeonje1388.or.kr
부산,수영구청소년상담복지센터,(48264) 부산광역시 수영구 수영로 521번길 77 청소년문화의집 3층,051-759-8413,www.meetyou.kr
부산,사상구청소년상담복지센터,(46927) 부산광역시 사상구 백양대로 952 사상아동보건센터 3층,051-327-1388,http://sasang1388.kr/
부산,기장군청소년상담복지센터,(46069) 부산광역시 기장군 기장읍 차성서로 86 대라다목적도서관 4층,051-792-4880,http://gijangcmc.or.kr/1388/main/main.asp
